project,unit,type,owner,parent,countries,status_tabular,start_year,capacity,production,units,geom,lat,lng,route,url,pci5,status
TVK Industrial power station,1,gas_power_plant,TVK-Erőmű Kft,MOL PLC,Hungary,operating,2005,34,,MW,point,47.914,21.024,,https://www.gem.wiki/TVK_Industrial_power_station,,operating
Tahah power station,1,gas_power_plant,Bades Elektrik Üretim AŞ,Egemen Group,Türkiye,operating,2017,200,,MW,point,37.312,40.733,,https://www.gem.wiki/Tahah_power_station,,operating
Tahkoluoto power station,GT1,gas_power_plant,Fingrid Oyj,Government of Finland; other,Finland,operating,,26,,MW,point,61.632,21.407,,https://www.gem.wiki/Tahkoluoto_power_station,,operating
Tahkoluoto power station,GT2,gas_power_plant,Fingrid Oyj,Government of Finland; other,Finland,operating,,26,,MW,point,61.632,21.407,,https://www.gem.wiki/Tahkoluoto_power_station,,operating
Tapada do Outeiro power station,G1,gas_power_plant,TrustEnergy BV,ENGIE SA [50.00%]; Marubeni Corp [50.00%],Portugal,operating,1998,330,,MW,point,41.07,-8.4587,,https://www.gem.wiki/Tapada_do_Outeiro_power_station,,operating
Tapada do Outeiro power station,G2,gas_power_plant,TrustEnergy BV,ENGIE SA [50.00%]; Marubeni Corp [50.00%],Portugal,operating,1998,330,,MW,point,41.07,-8.4587,,https://www.gem.wiki/Tapada_do_Outeiro_power_station,,operating
Tapada do Outeiro power station,G3,gas_power_plant,TrustEnergy BV,ENGIE SA [50.00%]; Marubeni Corp [50.00%],Portugal,operating,1999,330,,MW,point,41.07,-8.4587,,https://www.gem.wiki/Tapada_do_Outeiro_power_station,,operating
Taranto CHP power station,CC3,gas_power_plant,Taranto Energy SRL,Taranto Energy SRL,Italy,operating,1997,564,,MW,point,40.464,17.247,,https://www.gem.wiki/Taranto_CHP_power_station,,operating
Taranto CHP power station,CET2-1,gas_power_plant,Taranto Energy SRL,Taranto Energy SRL,Italy,operating,1975,160,,MW,point,40.464,17.247,,https://www.gem.wiki/Taranto_CHP_power_station,,operating
Taranto CHP power station,CET2-2,gas_power_plant,Taranto Energy SRL,Taranto Energy SRL,Italy,operating,1975,160,,MW,point,40.464,17.247,,https://www.gem.wiki/Taranto_CHP_power_station,,operating
Taranto CHP power station,CET2-3,gas_power_plant,Taranto Energy SRL,Taranto Energy SRL,Italy,operating,1975,160,,MW,point,40.464,17.247,,https://www.gem.wiki/Taranto_CHP_power_station,,operating
Taranto Refinery power station,TG5,gas_power_plant,Enipower SpA,Eni SpA,Italy,operating,,48.5,,MW,point,40.499,17.197,,https://www.gem.wiki/Taranto_Refinery_power_station,,operating
Taranto Refinery power station,TG6,gas_power_plant,Enipower SpA,Eni SpA,Italy,pre-construction,2024,37,,MW,point,40.499,17.197,,https://www.gem.wiki/Taranto_Refinery_power_station,,pre-construction
Tarbert power station,GT1,gas_power_plant,SSE Thermal Ltd,SSE PLC,Ireland,operating,,60,,MW,point,52.59,-9.3634,,https://www.gem.wiki/Tarbert_power_station,,operating
Tarbert power station,GT2,gas_power_plant,SSE Thermal Ltd,SSE PLC,Ireland,operating,,60,,MW,point,52.59,-9.3634,,https://www.gem.wiki/Tarbert_power_station,,operating
Tarbert power station,GT3,gas_power_plant,SSE Thermal Ltd,SSE PLC,Ireland,operating,,250,,MW,point,52.59,-9.3634,,https://www.gem.wiki/Tarbert_power_station,,operating
Tarbert power station,GT4,gas_power_plant,SSE Thermal Ltd,SSE PLC,Ireland,operating,,250,,MW,point,52.59,-9.3634,,https://www.gem.wiki/Tarbert_power_station,,operating
